chi,parameter,objective,analytic_gradient,finite_difference_gradient,relative_error,tolerance,passed
0.0,log_standard_deviation[10],0.6922993792403169,-0.0514920450768708,-0.0514920450875642,1.0693376739645544e-11,0.0001,True
0.0,log_standard_deviation[11],0.6922993792403169,-0.0475196873510731,-0.0475196873612722,1.0199084632400712e-11,0.0001,True
0.0,log_standard_deviation[12],0.6922993792403169,-0.0502496231973406,-0.0502496231989035,1.5629095240221602e-12,0.0001,True
0.0,log_standard_deviation[13],0.6922993792403169,-0.0507669427819928,-0.0507669427915781,9.58523538319156e-12,0.0001,True
0.0,log_standard_deviation[14],0.6922993792403169,-0.0522878232761404,-0.0522878232773382,1.197771049010754e-12,0.0001,True
0.0,log_standard_deviation[15],0.6922993792403169,-0.050361347014167,-0.0503613470261943,1.2027288887050958e-11,0.0001,True
0.0,log_standard_deviation[16],0.6922993792403169,-0.0490001459183243,-0.0490001459369844,1.866010818085684e-11,0.0001,True
0.0,log_standard_deviation[17],0.6922993792403169,-0.0497948667543114,-0.0497948667622341,7.922731914966619e-12,0.0001,True
0.0,log_standard_deviation[18],0.6922993792403169,-0.0498366568418734,-0.0498366568484221,6.5486713274331976e-12,0.0001,True
0.0,log_standard_deviation[19],0.6922993792403169,-0.0529704531114942,-0.0529704531224871,1.0992901033901603e-11,0.0001,True
0.0,log_standard_deviation[20],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[21],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[22],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[23],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[24],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[25],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[26],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[27],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[28],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[29],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.0,log_standard_deviation[30],0.6922993792403169,-0.050883644289323,-0.0508836442982926,8.969609777143006e-12,0.0001,True
0.0,log_standard_deviation[31],0.6922993792403169,-0.0527714498255411,-0.0527714498274772,1.9361109937499066e-12,0.0001,True
0.0,log_standard_deviation[32],0.6922993792403169,-0.0500929367158416,-0.050092936715161,6.805112029439897e-13,0.0001,True
0.0,log_standard_deviation[33],0.6922993792403169,-0.0485408598154444,-0.0485408598278068,1.2362423584821867e-11,0.0001,True
0.125,"mean_weight[0,0]",0.6922993792403169,0.009670293382387,0.0096702933791585,3.228495595863912e-12,0.0001,True
0.125,"mean_weight[0,5]",0.6922993792403169,0.0024175733455967,0.0024175733447896,8.071238989659779e-13,0.0001,True
0.125,"mean_weight[1,0]",0.6922993792403169,0.0234580032227522,0.0234580032220834,6.688330445037138e-13,0.0001,True
0.125,"mean_weight[1,5]",0.6922993792403169,0.005864500805688,0.005864500803229,2.458991343878836e-12,0.0001,True
0.125,"mean_weight[2,0]",0.6922993792403169,-0.0082180084681963,-0.0082180084715518,3.3554513334532747e-12,0.0001,True
0.125,"mean_weight[2,5]",0.6922993792403169,-0.002054502117049,-0.0020545021087208,8.328269497648309e-12,0.0001,True
0.125,"mean_weight[3,0]",0.6922993792403169,0.011831132176223,0.0118311321766214,3.9839138932240564e-13,0.0001,True
0.125,"mean_weight[3,5]",0.6922993792403169,0.0029577830440557,0.00295778303728,6.775751400928121e-12,0.0001,True
0.125,"mean_weight[4,0]",0.6922993792403169,0.0075815301297372,0.0075815301315554,1.8182278599399029e-12,0.0001,True
0.125,"mean_weight[4,5]",0.6922993792403169,0.0018953825324343,0.0018953825397642,7.329905996403263e-12,0.0001,True
0.125,log_standard_deviation[0],0.6922993792403169,-0.053502249033677,-0.053502249046909,1.3231991891071717e-11,0.0001,True
0.125,log_standard_deviation[1],0.6922993792403169,-0.0517438526843285,-0.0517438526955436,1.1215139927855944e-11,0.0001,True
0.125,log_standard_deviation[2],0.6922993792403169,-0.049461684328453,-0.0494616843280286,4.2438969005687e-13,0.0001,True
0.125,log_standard_deviation[3],0.6922993792403169,-0.0509777812981964,-0.0509777813033912,5.1948029211601465e-12,0.0001,True
0.125,log_standard_deviation[4],0.6922993792403169,-0.0496026179234129,-0.0496026179293696,5.9566795940213516e-12,0.0001,True
0.125,log_standard_deviation[5],0.6922993792403169,-0.050353471841807,-0.0503534718546413,1.2834344698120503e-11,0.0001,True
0.125,log_standard_deviation[6],0.6922993792403169,-0.049422928095815,-0.0494229281042277,8.412728846884931e-12,0.0001,True
0.125,log_standard_deviation[7],0.6922993792403169,-0.0509779373665207,-0.0509779373829833,1.6462511909232088e-11,0.0001,True
0.125,log_standard_deviation[8],0.6922993792403169,-0.0505739926621194,-0.0505739926639365,1.8171089632978976e-12,0.0001,True
0.125,log_standard_deviation[9],0.6922993792403169,-0.0496854709132143,-0.0496854709281544,1.4940097770033134e-11,0.0001,True
0.125,log_standard_deviation[10],0.6922993792403169,-0.0514920450768708,-0.0514920450875642,1.0693376739645544e-11,0.0001,True
0.125,log_standard_deviation[11],0.6922993792403169,-0.0475196873510731,-0.0475196873612722,1.0199084632400712e-11,0.0001,True
0.125,log_standard_deviation[12],0.6922993792403169,-0.0502496231973406,-0.0502496231989035,1.5629095240221602e-12,0.0001,True
0.125,log_standard_deviation[13],0.6922993792403169,-0.0507669427819928,-0.0507669427915781,9.58523538319156e-12,0.0001,True
0.125,log_standard_deviation[14],0.6922993792403169,-0.0522878232761404,-0.0522878232773382,1.197771049010754e-12,0.0001,True
0.125,log_standard_deviation[15],0.6922993792403169,-0.050361347014167,-0.0503613470261943,1.2027288887050958e-11,0.0001,True
0.125,log_standard_deviation[16],0.6922993792403169,-0.0490001459183243,-0.0490001459369844,1.866010818085684e-11,0.0001,True
0.125,log_standard_deviation[17],0.6922993792403169,-0.0497948667543114,-0.0497948667622341,7.922731914966619e-12,0.0001,True
0.125,log_standard_deviation[18],0.6922993792403169,-0.0498366568418734,-0.0498366568484221,6.5486713274331976e-12,0.0001,True
0.125,log_standard_deviation[19],0.6922993792403169,-0.0529704531114942,-0.0529704531224871,1.0992901033901603e-11,0.0001,True
0.125,log_standard_deviation[20],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[21],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[22],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[23],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[24],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[25],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[26],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[27],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[28],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[29],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.125,log_standard_deviation[30],0.6922993792403169,-0.050883644289323,-0.0508836442982926,8.969609777143006e-12,0.0001,True
0.125,log_standard_deviation[31],0.6922993792403169,-0.0527714498255411,-0.0527714498274772,1.9361109937499066e-12,0.0001,True
0.125,log_standard_deviation[32],0.6922993792403169,-0.0500929367158416,-0.050092936715161,6.805112029439897e-13,0.0001,True
0.125,log_standard_deviation[33],0.6922993792403169,-0.0485408598154444,-0.0485408598278068,1.2362423584821867e-11,0.0001,True
0.25,"mean_weight[0,0]",0.6922993792403169,0.009670293382387,0.0096702933791585,3.228495595863912e-12,0.0001,True
0.25,"mean_weight[0,5]",0.6922993792403169,0.0024175733455967,0.0024175733447896,8.071238989659779e-13,0.0001,True
0.25,"mean_weight[1,0]",0.6922993792403169,0.0234580032227522,0.0234580032220834,6.688330445037138e-13,0.0001,True
0.25,"mean_weight[1,5]",0.6922993792403169,0.005864500805688,0.005864500803229,2.458991343878836e-12,0.0001,True
0.25,"mean_weight[2,0]",0.6922993792403169,-0.0082180084681963,-0.0082180084715518,3.3554513334532747e-12,0.0001,True
0.25,"mean_weight[2,5]",0.6922993792403169,-0.002054502117049,-0.0020545021087208,8.328269497648309e-12,0.0001,True
0.25,"mean_weight[3,0]",0.6922993792403169,0.011831132176223,0.0118311321766214,3.9839138932240564e-13,0.0001,True
0.25,"mean_weight[3,5]",0.6922993792403169,0.0029577830440557,0.00295778303728,6.775751400928121e-12,0.0001,True
0.25,"mean_weight[4,0]",0.6922993792403169,0.0075815301297372,0.0075815301315554,1.8182278599399029e-12,0.0001,True
0.25,"mean_weight[4,5]",0.6922993792403169,0.0018953825324343,0.0018953825397642,7.329905996403263e-12,0.0001,True
0.25,log_standard_deviation[0],0.6922993792403169,-0.053502249033677,-0.053502249046909,1.3231991891071717e-11,0.0001,True
0.25,log_standard_deviation[1],0.6922993792403169,-0.0517438526843285,-0.0517438526955436,1.1215139927855944e-11,0.0001,True
0.25,log_standard_deviation[2],0.6922993792403169,-0.049461684328453,-0.0494616843280286,4.2438969005687e-13,0.0001,True
0.25,log_standard_deviation[3],0.6922993792403169,-0.0509777812981964,-0.0509777813033912,5.1948029211601465e-12,0.0001,True
0.25,log_standard_deviation[4],0.6922993792403169,-0.0496026179234129,-0.0496026179293696,5.9566795940213516e-12,0.0001,True
0.25,log_standard_deviation[5],0.6922993792403169,-0.050353471841807,-0.0503534718546413,1.2834344698120503e-11,0.0001,True
0.25,log_standard_deviation[6],0.6922993792403169,-0.049422928095815,-0.0494229281042277,8.412728846884931e-12,0.0001,True
0.25,log_standard_deviation[7],0.6922993792403169,-0.0509779373665207,-0.0509779373829833,1.6462511909232088e-11,0.0001,True
0.25,log_standard_deviation[8],0.6922993792403169,-0.0505739926621194,-0.0505739926639365,1.8171089632978976e-12,0.0001,True
0.25,log_standard_deviation[9],0.6922993792403169,-0.0496854709132143,-0.0496854709281544,1.4940097770033134e-11,0.0001,True
0.25,log_standard_deviation[10],0.6922993792403169,-0.0514920450768708,-0.0514920450875642,1.0693376739645544e-11,0.0001,True
0.25,log_standard_deviation[11],0.6922993792403169,-0.0475196873510731,-0.0475196873612722,1.0199084632400712e-11,0.0001,True
0.25,log_standard_deviation[12],0.6922993792403169,-0.0502496231973406,-0.0502496231989035,1.5629095240221602e-12,0.0001,True
0.25,log_standard_deviation[13],0.6922993792403169,-0.0507669427819928,-0.0507669427915781,9.58523538319156e-12,0.0001,True
0.25,log_standard_deviation[14],0.6922993792403169,-0.0522878232761404,-0.0522878232773382,1.197771049010754e-12,0.0001,True
0.25,log_standard_deviation[15],0.6922993792403169,-0.050361347014167,-0.0503613470261943,1.2027288887050958e-11,0.0001,True
0.25,log_standard_deviation[16],0.6922993792403169,-0.0490001459183243,-0.0490001459369844,1.866010818085684e-11,0.0001,True
0.25,log_standard_deviation[17],0.6922993792403169,-0.0497948667543114,-0.0497948667622341,7.922731914966619e-12,0.0001,True
0.25,log_standard_deviation[18],0.6922993792403169,-0.0498366568418734,-0.0498366568484221,6.5486713274331976e-12,0.0001,True
0.25,log_standard_deviation[19],0.6922993792403169,-0.0529704531114942,-0.0529704531224871,1.0992901033901603e-11,0.0001,True
0.25,log_standard_deviation[20],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
